"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
"Love you ibu","54985","180","90001979","20162","4","4","4","4","4","4","4","4","4","4","311"
"Ga konsisten kalau memberi tugas jadi membuang waktu dan menghabiskan waktu untuk mata kuliah yang lain , tidak efektif","54988","180","90001979","20162","2","2","2","2","2","2","2","2","2","2","311"
"Tugasnya lumayan banyak tiada hari tanpa tugas","54989","180","90001979","20162","3","3","3","3","3","3","2","3","3","3","311"
"Jangan terlalu pelit untuk nilai","54994","180","90001979","20162","2","2","2","2","2","2","2","2","2","2","311"
"Terlalu sering jam kosong, Dosen tidak memberi Konfirmasi","54997","141","90001859","20162","3","4","3","4","4","4","2","4","3","4","195"
"Keep being you","55001","141","90001859","20162","3","3","3","3","3","3","3","3","3","3","195"
"Kurangi tugasnya bu","55002","180","90001979","20162","4","4","3","3","3","2","3","3","3","3","311"
"Ibu terlalu baik buat kami tolong tingkatkan lagi","55005","180","90001979","20162","4","4","4","4","4","4","4","4","4","4","311"
"Perbanyak kuis","55006","180","90001979","20162","2","2","2","2","2","2","2","2","2","2","311"
"Jangan Banyak Tugas","55010","180","90001979","20162","1","3","1","2","3","3","2","2","2","2","311"
"Jangan sekali-sekali lihat web","55012","180","90001979","20162","3","3","3","3","3","3","3","3","3","3","311"
"Web diperbaiki web di update","55013","180","90001979","20162","3","3","3","3","2","3","3","3","3","3","311"
"Ok Bu","55014","180","90001979","20162","3","3","3","3","3","3","3","3","3","3","311"
"Perbaiki pola mengajar, konsisten pada tugas","55015","180","90001979","20162","1","1","1","1","1","1","1","1","1","1","311"
"Tingkatkan","55019","180","90001979","20162","3","3","3","3","2","2","2","2","2","3","311"
"Cara mengajar yang menyenangkan seperti suasana baru dalam mengajar , semangat IBU","55021","180","90001979","20162","3","3","3","4","3","3","4","2","2","3","311"
